scenario_ref,synthetic_ref,bank_utr,order_id,credit_amount,value_date,narration
SPLT-009,REC-BNK-001,BNK-f179c21c-001,ORD-f179c21c-B,900.00,2026-08-02,Adjustment entry
SPLT-001,REC-BNK-001,BNK-48688aa7-001,ORD-48688aa7-B,5275.00,2026-08-01,Wallet transfer
REFD-001,REC-BNK-001,BNK-f25ca133-001,ORD-f25ca133-B,14720.00,2026-08-01,Refund processing
REFD-008,REC-BNK-001,BNK-072937f3-001,ORD-072937f3-B,290.00,2026-08-01,Invoice settlement
SPLT-006,REC-BNK-002,BNK-14acf163-002,ORD-14acf163-C,830.00,2026-08-01,Card settlement
UNQ-009,REC-BNK-001,BNK-6e23ff7a-001,ORD-6e23ff7a,16080.00,2026-08-01,Online payment
EXACT-007,REC-BNK-001,BNK-cf69bbc0-001,ORD-cf69bbc0,1310.00,2026-08-01,Settlement transfer
SPLT-004,REC-BNK-001,BNK-c62c416f-001,ORD-c62c416f-B,665.00,2026-08-01,Monthly subscription fee
LATE-010,REC-BNK-001,BNK-66c48a34-001,ORD-66c48a34-B,3690.00,2026-08-11,ACH credit
TDLY-004,REC-BNK-001,BNK-66369e54-001,ORD-66369e54,1730.00,2026-08-02,Card settlement
REFD-003,REC-BNK-001,BNK-1bbf0ece-001,ORD-1bbf0ece-B,2790.00,2026-08-02,Payment for services rendered
SPLT-003,REC-BNK-002,BNK-eb34da40-002,ORD-eb34da40-C,940.00,2026-08-02,Payment gateway transfer
NARR-002,REC-BNK-001,BNK-e65f51d5-001,ORD-e65f51d5-B,21810.00,2026-08-11,Transfer mentioning ORD-e65f51d5-B
FEE-002,REC-BNK-001,BNK-6e4002a9-001,ORD-6e4002a9-B,7835.00,2026-08-01,Payment for services rendered
EXACT-016,REC-BNK-001,BNK-a44aba41-001,ORD-a44aba41,650.00,2026-08-02,Settlement transfer
SPLT-004,REC-BNK-002,BNK-c62c416f-002,ORD-c62c416f-C,685.00,2026-08-01,Online payment
SPLT-005,REC-BNK-002,BNK-85e11505-002,ORD-85e11505-C,1065.00,2026-08-02,Reconciliation entry
DUP-010,REC-BNK-001,BNK-69656163-001,ORD-69656163-B,2240.00,2026-08-06,Online payment
SPLT-007,REC-BNK-001,BNK-894b0bfa-001,ORD-894b0bfa-B,1015.00,2026-08-01,Adjustment entry
SPLT-009,REC-BNK-002,BNK-f179c21c-002,ORD-f179c21c-C,1000.00,2026-08-01,Monthly subscription fee
DUP-004,REC-BNK-001,BNK-c97f6b3e-001,ORD-c97f6b3e-B,8930.00,2026-08-06,Refund processing
EXACT-003,REC-BNK-001,BNK-70e3a430-001,ORD-70e3a430,2520.00,2026-08-01,Commission disbursement
TDLY-012,REC-BNK-001,BNK-a6e169e2-001,ORD-a6e169e2,1060.00,2026-08-02,Direct deposit
FEE-003,REC-BNK-001,BNK-6f955b89-001,ORD-6f955b89-B,1105.00,2026-08-01,Invoice settlement
