scenario_ref,synthetic_ref,bank_utr,order_id,credit_amount,value_date,narration
SPLT-009,REC-BNK-001,BNK-SPLT-009-001,ORD-SPLT-009-B,900.00,2026-08-02,Adjustment entry
SPLT-001,REC-BNK-001,BNK-SPLT-001-001,ORD-SPLT-001-B,5275.00,2026-08-01,Wallet transfer
REFD-001,REC-BNK-001,BNK-REFD-001-001,ORD-REFD-001-B,14720.00,2026-08-01,Refund processing
REFD-008,REC-BNK-001,BNK-REFD-008-001,ORD-REFD-008-B,290.00,2026-08-01,Invoice settlement
SPLT-006,REC-BNK-002,BNK-SPLT-006-002,ORD-SPLT-006-C,830.00,2026-08-01,Card settlement
UNQ-009,REC-BNK-001,BNK-UNQ-009-001,ORD-UNQ-009,16080.00,2026-08-01,Online payment
EXACT-007,REC-BNK-001,BNK-EXACT-007-001,ORD-EXACT-007,1310.00,2026-08-01,Settlement transfer
SPLT-004,REC-BNK-001,BNK-SPLT-004-001,ORD-SPLT-004-B,665.00,2026-08-01,Monthly subscription fee
LATE-010,REC-BNK-001,BNK-LATE-010-001,ORD-LATE-010-B,3690.00,2026-08-11,ACH credit
TDLY-004,REC-BNK-001,BNK-TDLY-004-001,ORD-TDLY-004,1730.00,2026-08-02,Card settlement
REFD-003,REC-BNK-001,BNK-REFD-003-001,ORD-REFD-003-B,2790.00,2026-08-02,Payment for services rendered
SPLT-003,REC-BNK-002,BNK-SPLT-003-002,ORD-SPLT-003-C,940.00,2026-08-02,Payment gateway transfer
NARR-002,REC-BNK-001,BNK-NARR-002-001,ORD-NARR-002-B,21810.00,2026-08-11,Transfer mentioning ORD-NARR-002
FEE-002,REC-BNK-001,BNK-FEE-002-001,ORD-FEE-002-B,7835.00,2026-08-01,Payment for services rendered
EXACT-016,REC-BNK-001,BNK-EXACT-016-001,ORD-EXACT-016,650.00,2026-08-02,Settlement transfer
SPLT-004,REC-BNK-002,BNK-SPLT-004-002,ORD-SPLT-004-C,685.00,2026-08-01,Online payment
SPLT-005,REC-BNK-002,BNK-SPLT-005-002,ORD-SPLT-005-C,1065.00,2026-08-02,Reconciliation entry
DUP-010,REC-BNK-001,BNK-DUP-010-001,ORD-DUP-010-B,2240.00,2026-08-06,Online payment
SPLT-007,REC-BNK-001,BNK-SPLT-007-001,ORD-SPLT-007-B,1015.00,2026-08-01,Adjustment entry
SPLT-009,REC-BNK-002,BNK-SPLT-009-002,ORD-SPLT-009-C,1000.00,2026-08-01,Monthly subscription fee
DUP-004,REC-BNK-001,BNK-DUP-004-001,ORD-DUP-004-B,8930.00,2026-08-06,Refund processing
EXACT-003,REC-BNK-001,BNK-EXACT-003-001,ORD-EXACT-003,2520.00,2026-08-01,Commission disbursement
TDLY-012,REC-BNK-001,BNK-TDLY-012-001,ORD-TDLY-012,1060.00,2026-08-02,Direct deposit
FEE-003,REC-BNK-001,BNK-FEE-003-001,ORD-FEE-003-B,1105.00,2026-08-01,Invoice settlement
SPLT-007,REC-BNK-002,BNK-SPLT-007-002,ORD-SPLT-007-C,1115.00,2026-08-01,Order fulfillment payment
SPLT-010,REC-BNK-002,BNK-SPLT-010-002,ORD-SPLT-010-C,7850.00,2026-08-02,Client remittance
FEE-004,REC-BNK-001,BNK-FEE-004-001,ORD-FEE-004-B,2365.00,2026-08-01,Adjustment entry
NARR-001,REC-BNK-001,BNK-NARR-001-001,ORD-NARR-001-B,11300.00,2026-08-15,Transfer mentioning ORD-NARR-001
EXACT-019,REC-BNK-001,BNK-EXACT-019-001,ORD-EXACT-019,1680.00,2026-08-02,UPI transaction
DUP-002,REC-BNK-001,BNK-DUP-002-001,ORD-DUP-002-B,6410.00,2026-08-06,Online payment
TDLY-001,REC-BNK-001,BNK-TDLY-001-001,ORD-TDLY-001,1200.00,2026-08-03,Invoice settlement
FEE-009,REC-BNK-001,BNK-FEE-009-001,ORD-FEE-009-B,880.00,2026-08-01,Refund processing
SPLT-008,REC-BNK-002,BNK-SPLT-008-002,ORD-SPLT-008-C,10370.00,2026-08-01,Payment gateway transfer
REFD-009,REC-BNK-001,BNK-REFD-009-001,ORD-REFD-009-B,7850.00,2026-08-01,Wallet transfer
